Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,avg_tc,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.0263,-4.156,-2479.0,597.0,-209.0,0.25,408,1.47,22.667,60,0.006,-0.05,-177.0
OLS,Val,0.0038,-6.4,-2777.0,434.0,-33.0,0.218,55,1.5,7.857,60,-0.06,-0.134,-77.0
OLS,OOS Oct-2024,0.0095,-17.641,-25984.0,1473.0,-1532.0,0.248,1203,2.09,70.765,60,0.022,-0.5297,-1753.0
LightGBM,Train,0.0638,0.0,0.0,0.0,0.0,,0,0.0,0.0,60,0.0,0.0,0.0
LightGBM,Val,-0.0025,0.0,0.0,0.0,0.0,,0,0.0,0.0,60,0.0,0.0,0.0
LightGBM,OOS Oct-2024,-0.0045,0.0,0.0,0.0,0.0,,0,0.0,0.0,60,0.0,0.0,0.0
