Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,avg_tc,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.0287,-7.092,-9160.0,1292.0,-710.0,0.223,260,5.67,14.444,23.50769230769231,-0.049,-0.1715,-654.0
OLS,Val,0.0474,-9.807,-47328.0,4826.0,-1504.0,0.185,275,6.35,39.286,21.283636363636365,1.059,-0.6943,-1315.0
OLS,OOS Oct-2024,0.0115,-22.704,-86225.0,3798.0,-5397.0,0.195,606,8.13,35.647,22.239273927392738,0.245,-1.783,-5817.0
LightGBM,Train,0.1031,-2.724,-3367.0,1236.0,-211.0,0.201,293,5.09,16.278,18.187713310580204,-0.056,-0.0541,-241.0
LightGBM,Val,0.0319,-11.998,-46025.0,3836.0,-1264.0,0.15,193,6.35,27.571,16.015544041450777,0.641,-0.7676,-1278.0
LightGBM,OOS Oct-2024,-0.0026,-3956.241,-253492.0,64.0,-16096.0,0.149,2680,5.9,157.647,17.36305970149254,0.0,-5.0699,-17101.0
