Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.024065001586162035,-21.505,-46312.0,2154.0,-2898.0,0.056,3548,197.111,60,0.157,-0.9373,-3308.0
OLS,Val,0.002951001098967162,-11.353,-38423.0,3384.0,-866.0,0.286,1037,148.143,60,-0.467,-1.3782,-1067.0
OLS,OOS Oct-2024,0.008497047112446124,-23.957,-109887.0,4587.0,-6943.0,0.059,4706,276.824,60,-0.113,-2.1455,-7413.0
LightGBM,Train,0.06359009370338789,0.0,0.0,0.0,0.0,0.0,0,0.0,60,0.0,0.0,0.0
LightGBM,Val,-0.0031426990165484225,0.0,0.0,0.0,0.0,0.0,0,0.0,60,0.0,0.0,0.0
LightGBM,OOS Oct-2024,-0.004352572766158221,0.0,0.0,0.0,0.0,0.0,0,0.0,60,0.0,0.0,0.0
