Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,avg_tc,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.0806,-11.058,-47600.0,4305.0,-3414.0,0.208,125,36.41,6.944,60,-0.215,-0.9006,-3400.0
OLS,Val,0.0927,-21.328,-71683.0,3361.0,-1899.0,0.234,77,39.96,11.0,60,0.502,-1.314,-1991.0
OLS,OOS Oct-2024,0.0122,-14.764,-88220.0,5976.0,-5892.0,0.169,762,8.74,44.824,60,0.585,-1.9041,-5951.0
LightGBM,Train,0.1099,-8.593,-50361.0,5861.0,-3587.0,0.382,157,45.52,8.722,60,-0.041,-0.9974,-3597.0
LightGBM,Val,0.0784,-42.922,-213678.0,4978.0,-5569.0,0.259,135,50.04,19.286,60,0.878,-4.0643,-5935.0
LightGBM,OOS Oct-2024,0.0059,-8.177,-8843.0,1082.0,-469.0,0.095,21,21.1,1.235,60,0.024,-0.1825,-597.0
