Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.07607726389220072,-4.846,-29658.0,6121.0,-2474.0,0.389,177,9.833,60,0.843,-0.7947,-2118.0
OLS,Val,0.08873531021532179,3.377,47498.0,14063.0,-749.0,0.429,141,20.143,60,2.104,1.4513,1319.0
OLS,OOS Oct-2024,0.011490076534903589,-3.83,-29975.0,7827.0,-2610.0,0.529,707,41.588,60,0.526,-0.7251,-2022.0
LightGBM,Train,0.12280129355639276,-6.1,-32538.0,5334.0,-3044.0,0.333,283,15.722,60,-0.467,-0.539,-2324.0
LightGBM,Val,0.07118807448805461,-16.792,-158578.0,9444.0,-4501.0,0.286,228,32.571,60,-0.444,-3.2773,-4405.0
LightGBM,OOS Oct-2024,0.00315658552209461,-2.773,-15533.0,5601.0,-1347.0,0.176,131,7.706,60,-0.431,-0.2077,-1048.0
