Model,Period,IC,sharpe,ann_ret,ann_vol,max_dd,hit_rate,n_trades,turnover,avg_hold_s,beta_spy,alpha_ann,total_pnl
OLS,Train,0.03250714727314623,-6.438,-24595.0,3820.0,-2058.0,0.444,855,47.5,60,-0.407,-0.3945,-1757.0
OLS,Val,0.04857820451104887,-10.818,-46363.0,4286.0,-1447.0,0.286,556,79.429,60,0.639,-0.775,-1288.0
OLS,OOS Oct-2024,0.006244516089203608,-27.601,-123671.0,4481.0,-7975.0,0.059,1489,87.588,60,-0.177,-2.4311,-8343.0
LightGBM,Train,0.11444698833919294,6.81,15531.0,2281.0,-233.0,0.667,155,8.611,60,-0.219,0.3629,1109.0
LightGBM,Val,0.033613976055775305,-2.36,-6726.0,2850.0,-508.0,0.429,84,12.0,60,0.653,0.021,-187.0
LightGBM,OOS Oct-2024,0.004472980899989041,-59.71,-213020.0,3568.0,-13566.0,0.0,4879,287.0,60,-0.427,-4.1584,-14370.0
